City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
99,yuzhno-kurilsk,44.0306,145.8556,-8.12,64,100,9.08,RU,1706942728
100,mumbwa,-14.9783,27.0619,22.29,72,70,3.4,ZM,1706942728
101,port isabel,26.0734,-97.2086,23.02,89,100,2.57,US,1706942729
102,kittila,67.6647,24.8936,-3.55,93,100,5.14,FI,1706942729
103,dudinka,69.4058,86.1778,-14.07,92,100,7.6,RU,1706942729
104,nampula,-15.1165,39.2666,25.97,83,75,2.24,MZ,1706942729
105,kalkaman,51.9525,76.0211,-5.44,94,100,7.21,KZ,1706942497
106,ribeira grande,38.5167,-28.7,17.1,84,16,4.92,PT,1706942730
107,edinburgh of the seven seas,-37.0676,-12.3116,17.03,89,92,7.83,SH,1706942730
108,invercargill,-46.4,168.35,12.23,78,10,6.71,NZ,1706942730
109,port alfred,-33.5906,26.891,26.24,75,100,2.14,ZA,1706942730
110,labasa,-16.4167,179.3833,26.61,88,98,1.19,FJ,1706942730
111,tambopata,-12.7333,-69.1833,22.69,99,36,0.68,PE,1706942731
112,svidnik,49.3082,21.5703,8.22,95,100,1.49,SK,1706942731
113,udachny,66.4167,112.4,-27.67,79,37,1.25,RU,1706942731
114,broome,42.2506,-75.833,-0.06,84,100,6.17,US,1706942731
115,fisterra,42.9049,-9.2629,10.01,78,8,1.93,ES,1706942732
116,phan thiet,10.9333,108.1,30.3,53,6,6.44,VN,1706942732
117,taichung,24.1469,120.6839,25.62,61,75,5.14,TW,1706942732
118,baker city,44.7749,-117.8344,3.84,87,100,0.0,US,1706942517
119,remire-montjoly,4.9167,-52.2667,25.02,94,100,1.03,GF,1706942732
120,lamu,-2.2717,40.902,28.65,68,100,4.25,KE,1706942733
121,lisakovsk,52.5369,62.4936,-4.05,95,99,3.9,KZ,1706942733
122,dodge city,37.7528,-100.0171,11.81,97,100,5.14,US,1706942459
123,mount gambier,-37.8333,140.7667,26.55,32,0,3.74,AU,1706942733
124,sao jose da coroa grande,-8.8978,-35.1478,25.95,78,16,3.71,BR,1706942733
125,kone,-21.0595,164.8658,29.43,77,99,2.51,NC,1706942734
126,new norfolk,-42.7826,147.0587,27.72,49,1,5.08,AU,1706942734
127,westport,41.1415,-73.3579,2.12,71,20,5.14,US,1706942620
128,lata,40.1629,-8.3327,7.73,81,98,2.16,PT,1706942734
129,utrik,11.2278,169.8474,26.26,86,90,9.99,MH,1706942734
130,bamboo flat,11.7,92.7167,30.05,70,20,5.66,IN,1706942735
131,gillette,44.2911,-105.5022,2.51,85,0,7.2,US,1706942735
132,nenjiang,49.1833,125.2167,-15.2,85,6,1.81,CN,1706942735
133,fort st. john,56.2499,-120.8529,-7.06,93,75,10.29,CA,1706942525
134,lerwick,60.1545,-1.1494,6.0,69,39,15.47,GB,1706942735
135,caninde,-4.3589,-39.3117,23.5,88,86,0.31,BR,1706942736
136,minas de marcona,-15.2119,-75.1103,17.89,84,86,3.49,PE,1706942736
137,puerto baquerizo moreno,-0.9,-89.6,25.22,88,13,5.95,EC,1706942736
138,vilyuysk,63.7553,121.6247,-26.11,91,61,2.68,RU,1706942736
139,bang saphan,11.2126,99.5117,30.61,59,100,4.0,TH,1706942737
140,puerto natales,-51.7236,-72.4875,2.81,95,51,3.54,CL,1706942737
141,gaspe,48.8334,-64.4819,-8.05,85,0,3.09,CA,1706942570
142,arraial do cabo,-22.9661,-42.0278,23.94,88,100,1.93,BR,1706942737
143,zaozersk,69.4005,32.4476,-5.41,87,100,6.02,RU,1706942737
144,saint-pierre,-21.3393,55.4781,27.82,65,40,9.26,RE,1706942738
145,wailua homesteads,22.0669,-159.378,21.24,58,75,12.35,US,1706942738
146,auki,-8.7676,160.7034,27.55,85,100,2.68,SB,1706942738
147,wamba,8.9333,8.6,22.56,22,19,1.5,NG,1706942738
148,san fernando del valle de catamarca,-28.4696,-65.7852,26.99,41,0,5.89,AR,1706942644
149,tabou,4.423,-7.3528,26.56,85,46,0.95,CI,1706942739
150,carnarvon,-24.8667,113.6333,27.33,68,1,7.81,AU,1706942739
151,rosarito,32.3333,-117.0333,13.53,77,9,5.57,MX,1706942167
152,mossendjo,-2.9506,12.7261,22.45,95,95,0.62,CG,1706942739
153,lai chau,22.3997,103.4517,24.98,31,0,2.24,VN,1706942739
154,longyearbyen,78.2186,15.6401,-8.09,67,75,4.63,SJ,1706942675
155,zacapu,19.8333,-101.7167,10.02,92,0,2.41,MX,1706942740
156,nainwa,25.7667,75.85,25.87,36,5,4.56,IN,1706942740
157,velky meder,47.858,17.7688,8.97,75,100,7.49,SK,1706942740
158,muromtsevo,56.3724,75.2418,-14.51,94,94,2.82,RU,1706942740
159,kudat,6.8837,116.8477,25.96,89,40,2.24,MY,1706942741
160,eirunepe,-6.6603,-69.8736,23.38,98,100,0.15,BR,1706942741
161,amahai,-3.3333,128.9167,31.18,63,72,1.38,ID,1706942741
162,retreat,38.8245,-85.8533,0.84,96,0,3.26,US,1706942741
163,qaqortoq,60.7167,-46.0333,-22.48,79,28,3.69,GL,1706942741
164,puerto deseado,-47.7503,-65.8938,10.17,67,100,18.1,AR,1706942742
